filename,class_id,x_center,y_center,width,height
ds_dsimg-1.txt,0,0.512500,0.429167,0.433333,0.191667
ds_dsimg-10.txt,0,0.506250,0.395139,0.220833,0.195833
ds_dsimg-100.txt,0,0.464583,0.458333,0.276389,0.161111
ds_dsimg-1000.txt,0,0.663462,0.463265,0.653846,0.338776
ds_dsimg-1000.txt,0,0.484375,0.753061,0.362981,0.208163
ds_dsimg-1000.txt,0,0.145433,0.920408,0.223558,0.159184
ds_dsimg-1001.txt,0,0.163462,0.785199,0.216346,0.176895
ds_dsimg-1001.txt,0,0.514423,0.805054,0.278846,0.194946
ds_dsimg-1001.txt,0,0.531250,0.498195,0.120192,0.115523
ds_dsimg-1001.txt,0,0.818510,0.438628,0.305288,0.148014
ds_dsimg-1001.txt,0,0.754808,0.889892,0.182692,0.198556
ds_dsimg-1002.txt,0,0.210526,0.687500,0.147368,0.060897
ds_dsimg-1002.txt,0,0.392105,0.745192,0.126316,0.163462
ds_dsimg-1002.txt,0,0.638158,0.801282,0.213158,0.397436
ds_dsimg-1002.txt,0,0.211842,0.923077,0.086842,0.121795
ds_dsimg-1002.txt,0,0.825000,0.596154,0.113158,0.128205
ds_dsimg-1002.txt,0,0.914474,0.907051,0.139474,0.185897
ds_dsimg-1002.txt,0,0.444737,0.431090,0.105263,0.086538
ds_dsimg-1002.txt,0,0.589474,0.456731,0.105263,0.073718
ds_dsimg-1002.txt,0,0.621053,0.540064,0.110526,0.067308
ds_dsimg-1002.txt,0,0.575000,0.256410,0.086842,0.038462
ds_dsimg-1002.txt,0,0.690789,0.413462,0.086842,0.044872
ds_dsimg-1002.txt,0,0.623684,0.322115,0.068421,0.054487
ds_dsimg-1002.txt,0,0.556579,0.315705,0.039474,0.041667
ds_dsimg-1002.txt,0,0.143421,0.296474,0.071053,0.080128
ds_dsimg-1002.txt,0,0.707895,0.184295,0.089474,0.099359
ds_dsimg-1002.txt,0,0.456579,0.887821,0.118421,0.128205
ds_dsimg-1002.txt,0,0.278947,0.519231,0.178947,0.179487
ds_dsimg-1003.txt,0,0.473558,0.510684,0.605769,0.807692
ds_dsimg-1003.txt,0,0.674279,0.431624,0.175481,0.358974
ds_dsimg-1003.txt,0,0.276442,0.570513,0.163462,0.585470
ds_dsimg-1004.txt,0,0.283654,0.702509,0.326923,0.322581
ds_dsimg-1005.txt,0,0.519231,0.873188,0.264423,0.231884
ds_dsimg-1005.txt,0,0.516827,0.635870,0.139423,0.163043
ds_dsimg-1005.txt,0,0.733173,0.567029,0.163462,0.105072
ds_dsimg-1005.txt,0,0.901442,0.646739,0.134615,0.148551
ds_dsimg-1005.txt,0,0.318510,0.764493,0.098558,0.376812
ds_dsimg-1005.txt,0,0.401442,0.440217,0.129808,0.206522
ds_dsimg-1005.txt,0,0.558894,0.492754,0.141827,0.094203
ds_dsimg-1005.txt,0,0.562500,0.405797,0.105769,0.094203
ds_dsimg-1005.txt,0,0.769231,0.405797,0.149038,0.079710
ds_dsimg-1005.txt,0,0.943510,0.490942,0.108173,0.134058
ds_dsimg-1005.txt,0,0.632212,0.344203,0.168269,0.057971
ds_dsimg-1005.txt,0,0.567308,0.246377,0.144231,0.057971
ds_dsimg-1005.txt,0,0.572115,0.273551,0.125000,0.068841
ds_dsimg-1006.txt,0,0.556490,0.244565,0.132212,0.068841
ds_dsimg-1006.txt,0,0.504808,0.612319,0.125000,0.130435
ds_dsimg-1006.txt,0,0.522837,0.851449,0.281250,0.282609
ds_dsimg-1006.txt,0,0.725962,0.572464,0.139423,0.123188
ds_dsimg-1006.txt,0,0.563702,0.498188,0.127404,0.097826
ds_dsimg-1006.txt,0,0.557692,0.398551,0.105769,0.065217
ds_dsimg-1006.txt,0,0.644231,0.351449,0.134615,0.050725
ds_dsimg-1006.txt,0,0.596154,0.317029,0.105769,0.032609
ds_dsimg-1006.txt,0,0.772837,0.403986,0.161058,0.076087
ds_dsimg-1006.txt,0,0.909856,0.619565,0.156250,0.152174
ds_dsimg-1006.txt,0,0.420673,0.393116,0.081731,0.119565
ds_dsimg-1006.txt,0,0.389423,0.500000,0.076923,0.123188
ds_dsimg-1006.txt,0,0.838942,0.480072,0.086538,0.068841
ds_dsimg-1006.txt,0,0.338942,0.632246,0.105769,0.141304
ds_dsimg-1006.txt,0,0.329327,0.923913,0.086538,0.115942
ds_dsimg-1006.txt,0,0.316106,0.777174,0.098558,0.112319
ds_dsimg-1006.txt,0,0.943510,0.505435,0.112981,0.155797
ds_dsimg-1007.txt,0,0.693510,0.608163,0.439904,0.375510
ds_dsimg-1007.txt,0,0.582933,0.259184,0.237981,0.224490
ds_dsimg-1007.txt,0,0.824519,0.083673,0.278846,0.134694
ds_dsimg-1007.txt,0,0.313702,0.391837,0.271635,0.204082
ds_dsimg-1007.txt,0,0.424279,0.077551,0.305288,0.122449
ds_dsimg-1007.txt,0,0.064904,0.102041,0.125000,0.146939
ds_dsimg-1007.txt,0,0.163462,0.048980,0.177885,0.065306
ds_dsimg-1007.txt,0,0.146635,0.765306,0.278846,0.404082
ds_dsimg-1008.txt,0,0.477163,0.719917,0.223558,0.195021
ds_dsimg-1008.txt,0,0.520433,0.838174,0.271635,0.224066
ds_dsimg-1008.txt,0,0.498798,0.533195,0.141827,0.087137
ds_dsimg-1008.txt,0,0.474760,0.400415,0.079327,0.112033
ds_dsimg-1009.txt,0,0.719952,0.523810,0.223558,0.205128
ds_dsimg-1009.txt,0,0.603365,0.331502,0.110577,0.128205
ds_dsimg-1009.txt,0,0.382212,0.448718,0.153846,0.150183
ds_dsimg-1009.txt,0,0.427885,0.313187,0.134615,0.076923
ds_dsimg-1009.txt,0,0.329327,0.800366,0.192308,0.150183
ds_dsimg-1009.txt,0,0.484375,0.902930,0.156250,0.194139
ds_dsimg-101.txt,0,0.431944,0.510417,0.230556,0.179167
ds_dsimg-101.txt,0,0.660417,0.505556,0.218056,0.130556
ds_dsimg-1010.txt,0,0.548077,0.734657,0.341346,0.299639
ds_dsimg-1010.txt,0,0.853365,0.723827,0.100962,0.111913
ds_dsimg-1010.txt,0,0.739183,0.435018,0.108173,0.061372
ds_dsimg-1010.txt,0,0.075721,0.684116,0.074519,0.090253
ds_dsimg-1010.txt,0,0.545673,0.449458,0.038462,0.032491
ds_dsimg-1010.txt,0,0.902644,0.440433,0.117788,0.108303
ds_dsimg-1011.txt,0,0.496394,0.785714,0.617788,0.419913
ds_dsimg-1011.txt,0,0.449519,0.458874,0.423077,0.207792
ds_dsimg-1011.txt,0,0.086538,0.424242,0.168269,0.155844
ds_dsimg-1011.txt,0,0.959135,0.428571,0.081731,0.129870
ds_dsimg-1012.txt,0,0.633413,0.523504,0.242788,0.183761
ds_dsimg-1012.txt,0,0.514423,0.696581,0.187500,0.153846
ds_dsimg-1012.txt,0,0.359375,0.910256,0.103365,0.179487
ds_dsimg-1012.txt,0,0.705529,0.235043,0.093750,0.196581
ds_dsimg-1012.txt,0,0.867788,0.692308,0.153846,0.264957
ds_dsimg-1013.txt,0,0.460337,0.643678,0.560096,0.333333
ds_dsimg-1014.txt,0,0.387019,0.736462,0.211538,0.144404
ds_dsimg-1014.txt,0,0.306490,0.592058,0.175481,0.050542
ds_dsimg-1014.txt,0,0.677885,0.837545,0.355769,0.324910
ds_dsimg-1014.txt,0,0.781250,0.660650,0.264423,0.180505
ds_dsimg-1014.txt,0,0.846154,0.528881,0.250000,0.061372
ds_dsimg-1014.txt,0,0.754808,0.471119,0.168269,0.097473
ds_dsimg-1014.txt,0,0.667067,0.465704,0.112981,0.101083
ds_dsimg-1014.txt,0,0.570913,0.554152,0.305288,0.155235
ds_dsimg-1015.txt,0,0.583750,0.718333,0.527500,0.323333
ds_dsimg-1016.txt,0,0.467548,0.788809,0.387019,0.393502
ds_dsimg-1017.txt,0,0.159856,0.769091,0.218750,0.141818
ds_dsimg-1017.txt,0,0.495192,0.616364,0.096154,0.141818
ds_dsimg-1017.txt,0,0.680288,0.416364,0.115385,0.076364
ds_dsimg-1017.txt,0,0.558894,0.529091,0.137019,0.112727
ds_dsimg-1017.txt,0,0.756010,0.345455,0.103365,0.036364
ds_dsimg-1018.txt,0,0.504808,0.646209,0.346154,0.382671
ds_dsimg-1018.txt,0,0.800481,0.595668,0.177885,0.151625
ds_dsimg-1018.txt,0,0.423077,0.406137,0.120192,0.075812
ds_dsimg-1019.txt,0,0.603365,0.486220,0.725962,0.610236
ds_dsimg-102.txt,0,0.501389,0.552778,0.363889,0.422222
ds_dsimg-1020.txt,0,0.155048,0.669675,0.218750,0.379061
ds_dsimg-1020.txt,0,0.700721,0.296029,0.560096,0.512635
ds_dsimg-1021.txt,0,0.418269,0.625604,0.701923,0.748792
ds_dsimg-1022.txt,0,0.786058,0.618590,0.302885,0.256410
ds_dsimg-1022.txt,0,0.847356,0.402244,0.180288,0.150641
ds_dsimg-1022.txt,0,0.640625,0.637821,0.213942,0.243590
ds_dsimg-1023.txt,0,0.219952,0.280443,0.247596,0.110701
ds_dsimg-1023.txt,0,0.477163,0.474170,0.290865,0.202952
ds_dsimg-1023.txt,0,0.687500,0.607011,0.346154,0.387454
ds_dsimg-1024.txt,0,0.555288,0.655235,0.519231,0.429603
ds_dsimg-1025.txt,0,0.510817,0.509615,0.560096,0.557692
ds_dsimg-1026.txt,0,0.620192,0.773504,0.725962,0.452991
ds_dsimg-1027.txt,0,0.534856,0.749097,0.930288,0.494585
ds_dsimg-1028.txt,0,0.504808,0.609890,0.913462,0.780220
ds_dsimg-1028.txt,0,0.171875,0.153846,0.189904,0.058608
ds_dsimg-1029.txt,0,0.316106,0.747984,0.314904,0.294355
ds_dsimg-1029.txt,0,0.664663,0.635081,0.108173,0.084677
ds_dsimg-1029.txt,0,0.687500,0.828629,0.177885,0.173387
ds_dsimg-103.txt,0,0.515972,0.428472,0.298611,0.159722
ds_dsimg-1030.txt,0,0.631667,0.607143,0.543333,0.678571
ds_dsimg-1030.txt,0,0.216667,0.274554,0.240000,0.245536
ds_dsimg-1031.txt,0,0.658654,0.323913,0.201923,0.117391
ds_dsimg-1031.txt,0,0.758413,0.160870,0.127404,0.104348
ds_dsimg-1031.txt,0,0.174279,0.395652,0.141827,0.113043
ds_dsimg-1031.txt,0,0.164663,0.915217,0.262019,0.169565
ds_dsimg-1031.txt,0,0.502404,0.706522,0.524038,0.343478
ds_dsimg-1031.txt,0,0.765625,0.510870,0.468750,0.273913
ds_dsimg-1032.txt,0,0.164663,0.629808,0.305288,0.201923
ds_dsimg-1032.txt,0,0.276442,0.818910,0.125000,0.157051
ds_dsimg-1032.txt,0,0.679087,0.709936,0.641827,0.477564
ds_dsimg-1033.txt,0,0.585337,0.498168,0.401442,0.278388
ds_dsimg-1033.txt,0,0.219952,0.401099,0.170673,0.172161
ds_dsimg-1033.txt,0,0.128606,0.210623,0.165865,0.135531
ds_dsimg-1033.txt,0,0.329327,0.300366,0.110577,0.080586
ds_dsimg-1033.txt,0,0.334135,0.078755,0.144231,0.084249
ds_dsimg-1033.txt,0,0.781250,0.076923,0.125000,0.124542
ds_dsimg-1034.txt,0,0.463942,0.258929,0.355769,0.366071
ds_dsimg-1034.txt,0,0.903846,0.220982,0.187500,0.209821
ds_dsimg-1034.txt,0,0.805288,0.343750,0.120192,0.116071
ds_dsimg-1034.txt,0,0.506010,0.729911,0.709135,0.540179
ds_dsimg-1035.txt,0,0.594952,0.647436,0.526442,0.653846
ds_dsimg-1036.txt,0,0.371394,0.583333,0.612981,0.685897
ds_dsimg-1036.txt,0,0.894231,0.580128,0.168269,0.256410
ds_dsimg-1037.txt,0,0.527644,0.519231,0.805288,0.564103
ds_dsimg-1038.txt,0,0.538462,0.640794,0.524038,0.718412
ds_dsimg-1038.txt,0,0.813702,0.153430,0.372596,0.256318
ds_dsimg-1039.txt,0,0.191106,0.447653,0.377404,0.129964
